"Time","Content.Espresso","Content.Tea","Content.Milk","Trait.Cold","Trait.HighInSugar","Trait.HighInCaffeine","Control.Exams","Control.LowerSales","Temperature","DewPoint","Humidity","WindSpeed","Pressure","Clear","Fog","Rain","Snow"
"2017-05-31 9",16,2,8,2,1,3,FALSE,FALSE,17.2,14.3,83,8,100.86,FALSE,FALSE,TRUE,FALSE
"2017-06-01 10",6,2,4,2,1,1,FALSE,TRUE,17.3,9.1,58,31,100.51,FALSE,FALSE,FALSE,FALSE
"2017-06-01 11",18,2,13,2,0,4,FALSE,TRUE,17.7,8,53,32,100.5,FALSE,FALSE,FALSE,FALSE
"2017-06-01 12",9,3,8,3,2,4,FALSE,TRUE,18.2,6.8,47,30,100.5,FALSE,FALSE,FALSE,FALSE
"2017-06-01 13",6,2,5,3,0,1,FALSE,TRUE,17.1,4.5,43,38,100.47,FALSE,FALSE,FALSE,FALSE
"2017-06-01 14",10,6,7,2,2,2,FALSE,TRUE,17.6,4.3,41,28,100.5,FALSE,FALSE,FALSE,FALSE
"2017-06-01 15",2,2,4,1,3,0,FALSE,TRUE,16.5,4.6,45,32,100.53,FALSE,FALSE,FALSE,FALSE
"2017-06-01 16",7,3,7,1,4,2,FALSE,TRUE,17,5.7,47,28,100.53,FALSE,FALSE,FALSE,FALSE
"2017-06-01 17",2,0,2,0,0,0,FALSE,TRUE,16.2,5,47,35,100.55,FALSE,FALSE,FALSE,FALSE
"2017-06-01 7",7,0,3,1,0,0,FALSE,TRUE,14.5,8.5,67,27,100.55,FALSE,FALSE,FALSE,FALSE
"2017-06-01 8",9,0,6,1,0,3,FALSE,TRUE,14.6,8.2,65,30,100.54,FALSE,FALSE,FALSE,FALSE
"2017-06-01 9",13,5,12,2,1,3,FALSE,TRUE,16.3,7.8,57,40,100.53,FALSE,FALSE,FALSE,FALSE
"2017-06-02 10",13,1,8,0,0,2,FALSE,TRUE,10.6,8.3,86,12,100.79,FALSE,FALSE,TRUE,FALSE
"2017-06-02 11",11,1,6,0,1,3,FALSE,TRUE,11.7,7.4,74,18,100.78,FALSE,FALSE,TRUE,FALSE
"2017-06-02 12",7,1,4,3,0,4,FALSE,TRUE,12.9,7.3,68,23,100.77,FALSE,FALSE,TRUE,FALSE
"2017-06-02 13",7,5,9,1,5,4,FALSE,TRUE,14.1,8.4,68,16,100.74,FALSE,FALSE,FALSE,FALSE
"2017-06-02 14",9,2,7,2,2,1,FALSE,TRUE,13.5,5.9,60,24,100.75,FALSE,FALSE,FALSE,FALSE
"2017-06-02 15",7,2,4,3,0,5,FALSE,TRUE,15.5,6.1,53,27,100.73,FALSE,FALSE,FALSE,FALSE
"2017-06-02 16",7,3,6,2,1,0,FALSE,TRUE,14.8,4.9,51,29,100.75,FALSE,FALSE,FALSE,FALSE
"2017-06-02 17",5,2,6,1,1,0,FALSE,TRUE,14.5,4.9,52,27,100.74,FALSE,FALSE,FALSE,FALSE
"2017-06-02 19",2,2,1,0,1,0,FALSE,TRUE,11.4,6.6,72,16,100.86,FALSE,FALSE,TRUE,FALSE
"2017-06-02 7",6,0,2,0,1,2,FALSE,TRUE,10.3,7.2,81,16,100.75,FALSE,FALSE,TRUE,FALSE
"2017-06-02 8",13,1,11,1,1,3,FALSE,TRUE,10.2,7.5,84,19,100.78,FALSE,FALSE,TRUE,FALSE
"2017-06-02 9",11,5,8,0,2,3,FALSE,TRUE,9.7,8.3,91,15,100.78,FALSE,FALSE,TRUE,FALSE
"2017-06-03 10",20,6,14,3,0,2,FALSE,TRUE,11.9,8.1,77,20,100.94,FALSE,FALSE,TRUE,FALSE
"2017-06-03 11",17,1,14,1,1,1,FALSE,TRUE,11.9,8.6,80,17,100.94,FALSE,FALSE,TRUE,FALSE
"2017-06-03 12",10,4,7,1,2,2,FALSE,TRUE,12.9,8,72,23,100.96,FALSE,FALSE,TRUE,FALSE
"2017-06-03 13",13,2,12,0,1,0,FALSE,TRUE,14.2,8.6,68,15,100.95,FALSE,FALSE,FALSE,FALSE
"2017-06-03 14",14,5,11,3,1,1,FALSE,TRUE,15.4,8.9,65,19,100.9,FALSE,FALSE,FALSE,FALSE
"2017-06-03 15",14,5,11,3,2,3,FALSE,TRUE,16.4,9.1,62,18,100.88,FALSE,FALSE,FALSE,FALSE
"2017-06-03 16",12,2,9,1,2,0,FALSE,TRUE,17.1,9.2,59,19,100.87,FALSE,FALSE,FALSE,FALSE
"2017-06-03 17",2,1,2,2,0,2,FALSE,TRUE,17.3,8.8,57,18,100.9,FALSE,FALSE,FALSE,FALSE
"2017-06-03 18",3,2,3,0,1,0,FALSE,TRUE,17.1,9.2,59,18,100.95,FALSE,FALSE,FALSE,FALSE
"2017-06-03 19",0,2,0,0,0,1,FALSE,TRUE,16.8,8.8,59,17,100.98,FALSE,FALSE,FALSE,FALSE
